"state_code","district_code","social_group","size_class","holding_no","holding_ar","gca_irrigated","gca_unirrigated","gca_total"
37,541,1,21,5748,7799,4355,3852,8207
36,542,1,21,1542,2017,982,1098,2080
36,543,1,21,2076,2796,1009,1816,2825
36,544,1,21,1129,1543,745,754,1499
36,545,1,21,2743,3682,3419,1638,5056
36,546,1,21,4469,6090,7796,238,8034
36,547,1,21,4422,5951,4440,3337,7777
36,548,1,21,5376,7211,5357,3065,8422
36,549,1,21,15758,22123,5238,12835,18073
36,550,1,21,11591,15537,9940,3650,13590
36,551,1,21,7920,11068,4708,5181,9889
36,552,1,21,20608,28737,6857,21100,27957
36,553,1,21,22432,32555,3455,26646,30101
36,554,1,21,13019,17902,6223,6928,13151
37,532,3,21,90217,129447,19309,102095,121404
37,533,3,21,91437,128017,113177,62747,175924
37,534,3,21,126752,178297,152782,37387,190170
37,535,3,21,120377,168747,57298,87030,144328
36,537,3,21,67816,95571,18854,37320,56174
37,538,3,21,197502,282862,69066,181409,250474
37,539,3,21,155305,220963,106153,84456,190609
37,540,3,21,105740,148796,97940,40105,138045
37,541,3,21,62730,87930,53948,40231,94178
36,542,3,21,62857,86492,60808,49965,110773
36,543,3,21,57096,79057,41451,43905,85356
36,544,3,21,41078,55861,30094,26119,56214
36,545,3,21,72592,99582,109467,39154,148620
36,546,3,21,78380,108878,158969,5691,164660
36,547,3,21,91402,127884,106302,77948,184250
36,548,3,21,140692,195277,141452,89967,231420
36,549,3,21,151097,215873,57173,135682,192855
36,550,3,21,77841,109836,79751,26404,106156
36,551,3,21,113575,163190,58299,96153,154452
36,552,3,21,163417,233865,55687,173827,229514
36,553,3,21,209985,309988,44368,247041,291409
36,554,3,21,128363,181152,59058,72139,131196
37,532,2,21,34794,49802,1971,42019,43989
37,533,2,21,10578,14239,13001,6777,19779
37,534,2,21,4278,5858,3750,2016,5766
37,535,2,21,9878,13656,4091,8420,12512
36,537,2,21,8025,11053,3170,5001,8171
37,538,2,21,23940,33489,5990,23550,29540
37,539,2,21,21197,29224,9934,13522,23456
37,540,2,21,24633,33921,20692,11493,32185
37,541,2,21,37471,52243,15862,34181,50044
36,542,2,21,6389,8584,2538,4610,7148
36,543,2,21,8020,11019,2020,8599,10619
36,544,2,21,26679,37972,9449,25260,34709
36,545,2,21,11213,16283,3971,5037,9008
36,546,2,21,4306,6112,4324,1776,6100
36,547,2,21,1874,2640,1059,1491,2550
36,548,2,21,4635,6306,4079,2359,6438
36,549,2,21,3211,4500,1596,2101,3697
36,550,2,21,2678,3559,2460,767,3226
36,551,2,21,1974,2727,710,1287,1996
36,552,2,21,3671,5116,1157,3317,4475
36,553,2,21,11031,16178,1439,13384,14823
36,554,2,21,3044,4243,1185,1941,3126
37,532,99,21,143934,205874,24546,164775,189321
37,533,99,21,112836,156787,138163,77495,215658
37,534,99,21,145008,203103,170862,44973,215835
37,535,99,21,148880,207685,68436,110748,179184
36,537,99,21,87956,123362,24262,50637,74899
37,538,99,21,249386,355356,82704,232731,315435
37,539,99,21,191508,270762,124283,106503,230786
37,540,99,21,141881,198412,127945,56533,184478
37,541,99,21,105973,148011,74184,78269,152453
36,542,99,21,70894,97255,64455,55721,120176
36,543,99,21,67198,92882,44486,54321,98807
36,544,99,21,68929,95438,40326,52136,92462
36,545,99,21,86674,119731,117061,45862,162924
36,546,99,21,87299,121288,171321,7705,179026
36,547,99,21,97699,136477,111801,82778,194578
36,548,99,21,150845,209008,150973,95477,246451
36,549,99,21,170081,242517,64008,150629,214636
36,550,99,21,92262,129146,92286,30847,123132
36,551,99,21,123474,176991,63719,102623,166342
36,552,99,21,187698,267721,63704,198244,261948
36,553,99,21,243528,358835,49271,287134,336405
36,554,99,21,144431,203304,66466,81011,147476
37,532,4,12,12,9,3,3,6
37,533,4,12,5,3,0,0,1
37,534,4,12,2,1,1,1,1
37,535,4,12,25,18,3,8,11
36,537,4,12,4,3,0,0,0
37,538,4,12,1,1,0,0,0
37,539,4,12,7,6,2,1,3
37,540,4,12,1,1,0,0,0
37,541,4,12,7,5,5,0,5
36,542,4,12,44,32,15,3,18
36,543,4,12,3,2,1,2,3
36,544,4,12,21,15,8,2,10
