"state_code","district_code","year","crop_code","season","area","prodn","yield"
28,539,2002,509,6,876,366,0.417808219
28,537,2008,509,6,55,30,0.545454545
28,532,2010,509,6,300,203,0.676666667
28,533,2008,509,6,241,105,0.435684647
28,535,2009,509,6,1718,830,0.483119907
28,533,2010,509,6,323,219,0.678018576
28,538,2003,509,6,1411,387,0.274273565
28,534,2003,509,6,119,33,0.277310924
28,533,2011,509,6,190,110,0.578947368
28,535,2002,509,6,3162,1322,0.418089817
28,537,2010,509,6,130,88,0.676923077
28,533,2003,509,6,470,129,0.274468085
28,541,2005,509,6,2,1,0.5
28,534,2001,509,6,47,23,0.489361702
28,539,2008,509,6,1361,712,0.523144747
28,539,2009,509,6,1360,711,0.522794118
28,539,2005,509,6,1783,933,0.523275379
28,533,2006,509,6,243,136,0.559670782
28,533,2001,509,6,532,262,0.492481203
28,539,2006,509,6,1881,999,0.531100478
28,532,2002,509,6,1197,500,0.417710944
28,538,2001,509,6,606,298,0.491749175
28,539,2004,509,6,2061,1226,0.594856866
28,532,2008,509,6,941,510,0.541976621
28,538,2005,509,6,440,185,0.420454545
28,535,2011,509,6,1096,619,0.564781022
28,535,2004,509,6,2985,1776,0.594974874
28,541,2006,509,6,6,3,0.5
28,532,2009,509,6,726,823,1.133608815
28,535,2008,509,6,1195,699,0.584937238
28,537,2009,509,6,212,134,0.632075472
28,532,2006,509,6,731,408,0.558139535
28,532,2005,509,6,923,388,0.420368364
28,533,2009,509,6,277,175,0.631768953
28,532,2004,509,6,1500,893,0.595333333
28,534,2011,509,6,9,5,0.555555556
28,538,2009,509,6,264,251,0.950757576
28,538,2004,509,6,445,265,0.595505618
28,532,2011,509,6,46,27,0.586956522
28,534,2002,509,6,41,17,0.414634146
28,534,2005,509,6,52,22,0.423076923
28,533,2004,509,6,381,227,0.595800525
28,537,2002,509,6,343,143,0.416909621
28,534,2006,509,6,30,17,0.566666667
28,539,2011,509,6,391,226,0.578005115
28,538,2002,509,6,549,229,0.41712204
28,538,2006,509,6,311,174,0.559485531
28,535,2003,509,6,3011,825,0.27399535
28,538,2008,509,6,291,191,0.656357388
28,535,2006,509,6,1745,1026,0.587965616
28,534,2009,509,6,9,6,0.666666667
28,537,2003,509,6,214,59,0.275700935
28,539,2010,509,6,506,343,0.677865613
28,534,2008,509,6,31,17,0.548387097
28,539,2003,509,6,2712,743,0.273967552
