"state_code","district_code","social_group","size_class","holding_no","holding_ar","holding_whly_irri_no","holding_whly_irri_ar","holding_whly_rain_no","holding_whly_rain_ar","holding_prtly_irri_no","holding_prtly_irri_tot.ar","holding_prtly_irri_irri.ar","holding_recve_irri_no","holding_recve_irri_irri.ar"
37,541,"INSTITUTIONAL","Below 0.5",9,3,6,2,2,1,0,0,0,6,2
36,542,"INSTITUTIONAL","Below 0.5",41,15,33,10,6,2,0,0,0,33,10
36,543,"INSTITUTIONAL","Below 0.5",4,1,1,0,1,0,0,0,0,1,0
36,544,"INSTITUTIONAL","Below 0.5",52,14,47,7,3,1,2,1,0,49,8
36,545,"INSTITUTIONAL","Below 0.5",256,60,224,44,8,1,24,5,3,248,47
36,546,"INSTITUTIONAL","Below 0.5",143,41,138,37,5,1,0,0,0,138,37
36,547,"INSTITUTIONAL","Below 0.5",7,2,1,0,6,1,0,0,0,1,0
36,548,"INSTITUTIONAL","Below 0.5",16,4,9,2,7,2,0,0,0,9,2
36,549,"INSTITUTIONAL","Below 0.5",8,3,0,0,8,1,0,0,0,0,0
36,550,"INSTITUTIONAL","Below 0.5",37,9,33,8,0,0,0,0,0,33,8
36,551,"INSTITUTIONAL","Below 0.5",2,0,1,0,1,0,0,0,0,1,0
36,552,"INSTITUTIONAL","Below 0.5",0,0,0,0,0,0,0,0,0,0,0
36,553,"INSTITUTIONAL","Below 0.5",74,23,4,1,58,14,0,0,0,4,1
36,554,"INSTITUTIONAL","Below 0.5",0,0,0,0,0,0,0,0,0,0,0
37,532,"SCHEDULED CASTE","Below 0.5",27860,7194,5662,1488,18427,4737,46,18,12,5708,1500
37,533,"SCHEDULED CASTE","Below 0.5",32389,9171,18078,5105,7067,2200,316,124,81,18394,5186
37,534,"SCHEDULED CASTE","Below 0.5",53893,13581,28148,7631,14200,3651,850,268,203,28998,7834
37,535,"SCHEDULED CASTE","Below 0.5",54402,13355,9807,2306,28283,6999,1993,444,272,11800,2578
36,537,"SCHEDULED CASTE","Below 0.5",20453,5653,2623,638,7089,1820,630,139,80,3253,719
37,538,"SCHEDULED CASTE","Below 0.5",52850,13806,7895,2207,27061,7740,469,158,80,8364,2288
37,539,"SCHEDULED CASTE","Below 0.5",44621,11269,16202,4167,8991,2560,626,199,112,16828,4279
37,540,"SCHEDULED CASTE","Below 0.5",46586,11541,20638,5347,16781,4122,439,151,80,21077,5427
37,541,"SCHEDULED CASTE","Below 0.5",25926,6764,13416,3354,9058,2491,523,158,75,13939,3429
36,542,"SCHEDULED CASTE","Below 0.5",20820,4478,14233,2928,5479,1246,431,145,92,14664,3020
