state_code,district_code,social_group_code,class_category_code,noh_individual,auh_individual,noh_joint,auh_joint,noh_total,auh_total,no_tehsils
28.0,537.0,1.0,99.0,52954.0,48375.0,91.0,101.0,53045.0,48477.0,370.0
28.0,537.0,2.0,99.0,29404.0,32177.0,94.0,148.0,29498.0,32327.0,370.0
28.0,537.0,3.0,99.0,259336.0,336527.0,647.0,1204.0,259983.0,337733.0,370.0
28.0,537.0,4.0,99.0,0.0,0.0,0.0,0.0,145.0,1092.0,370.0
28.0,538.0,1.0,99.0,128256.0,116855.0,3.0,15.0,128259.0,116871.0,630.0
28.0,538.0,2.0,99.0,90911.0,97748.0,0.0,0.0,90911.0,97748.0,630.0
28.0,538.0,3.0,99.0,752450.0,975141.0,24.0,30.0,752474.0,975169.0,630.0
28.0,538.0,4.0,99.0,0.0,0.0,0.0,0.0,16.0,487.0,630.0
28.0,539.0,1.0,99.0,87120.0,63174.0,5.0,2.0,87125.0,63177.0,590.0
28.0,539.0,2.0,99.0,84582.0,84014.0,2.0,3.0,84584.0,84016.0,590.0
28.0,539.0,3.0,99.0,585273.0,754347.0,71.0,459.0,585344.0,754808.0,590.0
28.0,539.0,4.0,99.0,0.0,0.0,0.0,0.0,135.0,2234.0,590.0
28.0,540.0,1.0,99.0,82212.0,58343.0,0.0,0.0,82212.0,58343.0,510.0
28.0,540.0,2.0,99.0,103958.0,100830.0,0.0,0.0,103958.0,100830.0,510.0
28.0,540.0,3.0,99.0,474526.0,506309.0,0.0,0.0,474526.0,506309.0,510.0
28.0,540.0,4.0,99.0,0.0,0.0,0.0,0.0,7.0,76.0,510.0
28.0,541.0,1.0,99.0,44552.0,29709.0,0.0,0.0,44552.0,29709.0,460.0
28.0,541.0,2.0,99.0,156327.0,180105.0,0.0,0.0,156327.0,180105.0,460.0
28.0,541.0,3.0,99.0,267298.0,324086.0,0.0,0.0,267298.0,324086.0,460.0
28.0,541.0,4.0,99.0,0.0,0.0,0.0,0.0,159.0,2180.0,460.0
28.0,532.0,99.0,1.0,258331.0,122838.0,820.0,361.0,259177.0,123211.0,416.0
28.0,532.0,99.0,2.0,143570.0,205359.0,358.0,513.0,143934.0,205873.0,208.0
28.0,532.0,99.0,3.0,90441.0,231838.0,315.0,867.0,90765.0,232733.0,416.0
28.0,532.0,99.0,4.0,23801.0,130878.0,181.0,1050.0,23989.0,131978.0,624.0
28.0,532.0,99.0,5.0,2094.0,33923.0,26.0,422.0,2130.0,34788.0,416.0
28.0,533.0,99.0,1.0,319411.0,147390.0,0.0,0.0,319431.0,147398.0,288.0
28.0,533.0,99.0,2.0,112828.0,156773.0,0.0,0.0,112836.0,156784.0,144.0
28.0,533.0,99.0,3.0,34508.0,89370.0,0.0,0.0,34521.0,89402.0,288.0
28.0,533.0,99.0,4.0,6291.0,34187.0,0.0,0.0,6306.0,34286.0,432.0
28.0,533.0,99.0,5.0,418.0,5991.0,0.0,0.0,434.0,6595.0,288.0
28.0,534.0,99.0,1.0,440848.0,194345.0,5.0,3.0,440856.0,194349.0,456.0
28.0,534.0,99.0,2.0,142515.0,199610.0,0.0,0.0,142520.0,199620.0,228.0
28.0,534.0,99.0,3.0,54585.0,143911.0,1.0,2.0,54590.0,143923.0,456.0
28.0,534.0,99.0,4.0,13650.0,74476.0,1.0,7.0,13658.0,74525.0,684.0
28.0,534.0,99.0,5.0,1060.0,16361.0,0.0,0.0,1066.0,16652.0,456.0
28.0,535.0,99.0,1.0,465013.0,198434.0,39.0,22.0,465100.0,198482.0,368.0
28.0,535.0,99.0,2.0,148822.0,207596.0,26.0,36.0,148880.0,207677.0,184.0
28.0,535.0,99.0,3.0,53298.0,140523.0,9.0,27.0,53339.0,140633.0,368.0
28.0,535.0,99.0,4.0,15380.0,86895.0,3.0,15.0,15415.0,87109.0,552.0
28.0,535.0,99.0,5.0,1767.0,26620.0,2.0,30.0,1809.0,29025.0,368.0
28.0,537.0,99.0,1.0,199497.0,98543.0,443.0,194.0,199947.0,98740.0,296.0
28.0,537.0,99.0,2.0,87761.0,123085.0,185.0,254.0,87956.0,123358.0,148.0
28.0,537.0,99.0,3.0,41346.0,109209.0,124.0,339.0,41522.0,109697.0,296.0
28.0,537.0,99.0,4.0,11733.0,65925.0,61.0,356.0,11831.0,66498.0,444.0
28.0,537.0,99.0,5.0,1357.0,20317.0,19.0,310.0,1415.0,21336.0,296.0
28.0,538.0,99.0,1.0,563309.0,262022.0,13.0,5.0,563324.0,262027.0,504.0
28.0,538.0,99.0,2.0,246531.0,351345.0,5.0,7.0,246536.0,351351.0,252.0
28.0,538.0,99.0,3.0,122749.0,324173.0,6.0,14.0,122757.0,324192.0,504.0
28.0,538.0,99.0,4.0,35518.0,199636.0,2.0,8.0,35523.0,199664.0,756.0
28.0,538.0,99.0,5.0,3510.0,52568.0,1.0,11.0,3520.0,53041.0,504.0
28.0,539.0,99.0,1.0,445205.0,208525.0,32.0,16.0,445269.0,208555.0,472.0
28.0,539.0,99.0,2.0,191470.0,270715.0,22.0,31.0,191508.0,270766.0,236.0
28.0,539.0,99.0,3.0,91333.0,243333.0,10.0,27.0,91364.0,243420.0,472.0
28.0,539.0,99.0,4.0,26813.0,148974.0,9.0,62.0,26845.0,149199.0,708.0
28.0,539.0,99.0,5.0,2154.0,29988.0,5.0,328.0,2202.0,32295.0,472.0
28.0,540.0,99.0,1.0,443129.0,190165.0,0.0,0.0,443132.0,190167.0,408.0
28.0,540.0,99.0,2.0,141379.0,197724.0,0.0,0.0,141380.0,197725.0,204.0
28.0,540.0,99.0,3.0,57294.0,151626.0,0.0,0.0,57295.0,151629.0,408.0
28.0,540.0,99.0,4.0,17041.0,94879.0,0.0,0.0,17042.0,94884.0,612.0
28.0,540.0,99.0,5.0,1853.0,31088.0,0.0,0.0,1854.0,31153.0,408.0
28.0,541.0,99.0,1.0,291090.0,137129.0,0.0,0.0,291106.0,137137.0,368.0
28.0,541.0,99.0,2.0,105949.0,147974.0,0.0,0.0,105973.0,148011.0,184.0
28.0,541.0,99.0,3.0,54382.0,143115.0,0.0,0.0,54435.0,143267.0,368.0
28.0,541.0,99.0,4.0,15514.0,84587.0,0.0,0.0,15552.0,84847.0,552.0
28.0,541.0,99.0,5.0,1242.0,21095.0,0.0,0.0,1270.0,22818.0,368.0
