state_code,district_code,social_group,size_class,holding_no,holding_ar,gca_irrigated,gca_unirrigated,gca_total
36,548,ALL SOCIAL GROUPS,20.0 & ABOVE,117,5694,2937,833,3770
36,549,ALL SOCIAL GROUPS,20.0 & ABOVE,188,5877,578,2290,2868
36,550,ALL SOCIAL GROUPS,20.0 & ABOVE,238,9420,2670,2357,5027
36,551,ALL SOCIAL GROUPS,20.0 & ABOVE,50,2355,604,549,1153
36,552,ALL SOCIAL GROUPS,20.0 & ABOVE,261,10470,957,6197,7153
36,553,ALL SOCIAL GROUPS,20.0 & ABOVE,424,14504,1259,9187,10446
36,554,ALL SOCIAL GROUPS,20.0 & ABOVE,148,5839,1129,1715,2844
37,532,INSTITUTIONAL,Below 0.5,14,4,0,1,2
37,533,INSTITUTIONAL,Below 0.5,15,4,1,0,1
37,534,INSTITUTIONAL,Below 0.5,1,0,0,0,0
37,535,INSTITUTIONAL,Below 0.5,23,9,2,2,5
36,537,INSTITUTIONAL,Below 0.5,3,1,0,0,0
37,538,INSTITUTIONAL,Below 0.5,1,0,0,0,0
37,539,INSTITUTIONAL,Below 0.5,25,6,3,1,4
37,540,INSTITUTIONAL,Below 0.5,2,1,0,0,0
37,541,INSTITUTIONAL,Below 0.5,9,3,2,1,3
36,542,INSTITUTIONAL,Below 0.5,41,15,10,5,16
36,543,INSTITUTIONAL,Below 0.5,4,1,0,0,1
36,544,INSTITUTIONAL,Below 0.5,52,14,8,2,9
36,545,INSTITUTIONAL,Below 0.5,256,60,78,7,86
36,546,INSTITUTIONAL,Below 0.5,143,41,60,1,61
36,547,INSTITUTIONAL,Below 0.5,7,2,0,1,1
36,548,INSTITUTIONAL,Below 0.5,16,4,3,2,5
36,549,INSTITUTIONAL,Below 0.5,8,3,0,1,1
36,550,INSTITUTIONAL,Below 0.5,37,9,10,0,10
36,551,INSTITUTIONAL,Below 0.5,2,0,0,0,0
36,552,INSTITUTIONAL,Below 0.5,0,0,0,0,0
36,553,INSTITUTIONAL,Below 0.5,74,23,1,14,15
36,554,INSTITUTIONAL,Below 0.5,0,0,0,0,0
37,532,SCHEDULED CASTE,Below 0.5,27860,7194,1568,4759,6327
37,533,SCHEDULED CASTE,Below 0.5,32389,9171,8604,3303,11907
37,534,SCHEDULED CASTE,Below 0.5,53893,13581,9649,3759,13408
37,535,SCHEDULED CASTE,Below 0.5,54402,13355,2940,7691,10631
36,537,SCHEDULED CASTE,Below 0.5,20453,5653,874,1957,2831
37,538,SCHEDULED CASTE,Below 0.5,52850,13806,2398,8093,10491
37,539,SCHEDULED CASTE,Below 0.5,44621,11269,6214,2792,9006
37,540,SCHEDULED CASTE,Below 0.5,46586,11541,5968,4234,10202
37,541,SCHEDULED CASTE,Below 0.5,25926,6764,4368,2749,7117
36,542,SCHEDULED CASTE,Below 0.5,20820,4478,3091,2835,5926
36,543,SCHEDULED CASTE,Below 0.5,14612,3369,1568,2258,3827
36,544,SCHEDULED CASTE,Below 0.5,6496,1686,1061,741,1803
36,545,SCHEDULED CASTE,Below 0.5,50970,10531,11324,4763,16087
36,546,SCHEDULED CASTE,Below 0.5,32978,8154,11053,562,11616
36,547,SCHEDULED CASTE,Below 0.5,34744,8463,7096,4853,11950
36,548,SCHEDULED CASTE,Below 0.5,34152,9038,6942,4435,11376
36,549,SCHEDULED CASTE,Below 0.5,33565,9327,2467,5548,8015
36,550,SCHEDULED CASTE,Below 0.5,52898,13439,12236,1469,13705
36,551,SCHEDULED CASTE,Below 0.5,15238,4442,2283,1097,3381
36,552,SCHEDULED CASTE,Below 0.5,21154,6841,3297,3684,6981
36,553,SCHEDULED CASTE,Below 0.5,15192,4823,696,3605,4302
36,554,SCHEDULED CASTE,Below 0.5,48943,12497,4409,4250,8658
37,532,OTHERS,Below 0.5,97929,25117,6790,16043,22833
37,533,OTHERS,Below 0.5,143661,38735,33315,14075,47390
37,534,OTHERS,Below 0.5,212595,55466,40089,14147,54236
37,535,OTHERS,Below 0.5,224181,54025,14594,27146,41740
36,537,OTHERS,Below 0.5,78342,22304,5157,6272,11429
37,538,OTHERS,Below 0.5,242235,61655,12610,32673,45283
37,539,OTHERS,Below 0.5,182175,49350,30735,11361,42097
37,540,OTHERS,Below 0.5,192585,47874,29271,14983,44254
37,541,OTHERS,Below 0.5,92362,26551,18677,9709,28386
36,542,OTHERS,Below 0.5,270668,63781,47664,35327,82990
36,543,OTHERS,Below 0.5,213638,48037,29308,27928,57236
36,544,OTHERS,Below 0.5,219266,51993,34832,20458,55290
36,545,OTHERS,Below 0.5,360241,89144,111917,29797,141714
36,546,OTHERS,Below 0.5,257762,69196,109019,2982,112001
36,547,OTHERS,Below 0.5,215688,61230,60677,34612,95289
36,548,OTHERS,Below 0.5,283640,84223,69467,40575,110041
36,549,OTHERS,Below 0.5,175366,50662,14933,31379,46312
36,550,OTHERS,Below 0.5,130240,34378,32738,4055,36793
36,551,OTHERS,Below 0.5,105204,29988,16380,9022,25403
36,552,OTHERS,Below 0.5,99234,31717,14577,17441,32019
36,553,OTHERS,Below 0.5,88872,27405,4801,19434,24236
36,554,OTHERS,Below 0.5,222355,57027,16933,20937,37870
37,532,SCHEDULED TRIBES,Below 0.5,18221,5142,826,3774,4601
37,533,SCHEDULED TRIBES,Below 0.5,13086,4026,3916,1354,5270
37,534,SCHEDULED TRIBES,Below 0.5,7879,2178,1164,776,1940
37,535,SCHEDULED TRIBES,Below 0.5,10735,3088,839,1592,2431
36,537,SCHEDULED TRIBES,Below 0.5,8541,2593,686,1053,1739
37,538,SCHEDULED TRIBES,Below 0.5,29640,8141,1422,4376,5798
37,539,SCHEDULED TRIBES,Below 0.5,29377,8601,5139,1787,6925
37,540,SCHEDULED TRIBES,Below 0.5,41606,11120,6567,4211,10777
37,541,SCHEDULED TRIBES,Below 0.5,51817,15218,6092,8939,15031
36,542,SCHEDULED TRIBES,Below 0.5,17337,4479,1682,2518,4201
36,543,SCHEDULED TRIBES,Below 0.5,16594,4372,985,3364,4349
36,544,SCHEDULED TRIBES,Below 0.5,29040,7853,2928,4824,7751
36,545,SCHEDULED TRIBES,Below 0.5,10200,2756,1598,1138,2736
36,546,SCHEDULED TRIBES,Below 0.5,8225,2367,1896,692,2588
36,547,SCHEDULED TRIBES,Below 0.5,6829,1945,1298,817,2116
36,548,SCHEDULED TRIBES,Below 0.5,8164,2447,1814,969,2783
36,549,SCHEDULED TRIBES,Below 0.5,5743,1724,553,893,1445
36,550,SCHEDULED TRIBES,Below 0.5,15233,4040,3722,525,4247
36,551,SCHEDULED TRIBES,Below 0.5,2865,833,360,206,566
36,552,SCHEDULED TRIBES,Below 0.5,2865,921,399,497,895
36,553,SCHEDULED TRIBES,Below 0.5,4431,1429,146,1106,1252
