"state_code","district_code","social_group","size_class","holding_no","holding_ar","sown_ar","current_fallows_ar","cultivated_ar","uncultivated.land_excluding_fallow","fallow_excluding_current.fallow","culturable_waste_land","uncultivated_land","land_not_for_cultivation"
37,534,2,21,4278,5858,5134,724,5858,0,0,0,0,0
37,535,2,21,9878,13656,11369,1732,13100,22,402,0,424,132
36,537,2,21,8025,11053,7390,3016,10406,104,394,22,521,127
37,538,2,21,23940,33489,28179,5247,33426,0,49,0,49,13
37,539,2,21,21197,29224,20193,7903,28096,111,479,63,654,474
37,540,2,21,24633,33921,30510,3196,33706,8,143,12,163,52
37,541,2,21,37471,52243,46983,4591,51575,7,525,0,532,136
36,542,2,21,6389,8584,6336,2248,8584,0,0,0,0,0
36,543,2,21,8020,11019,10446,567,11013,3,0,1,4,2
36,544,2,21,26679,37972,34219,3164,37383,8,461,0,469,120
36,545,2,21,11213,16283,8449,6942,15391,1,710,3,715,178
36,546,2,21,4306,6112,5170,942,6112,0,0,0,0,0
36,547,2,21,1874,2640,2416,224,2640,0,0,0,0,0
36,548,2,21,4635,6306,5503,804,6306,0,0,0,0,0
36,549,2,21,3211,4500,3684,450,4134,0,228,20,248,118
36,550,2,21,2678,3559,2901,498,3399,36,24,37,97,63
36,551,2,21,1974,2727,1683,969,2652,0,50,1,51,24
36,552,2,21,3671,5116,4346,760,5106,0,8,0,8,2
36,553,2,21,11031,16178,14486,1680,16166,0,3,0,3,9
36,554,2,21,3044,4243,2876,1132,4007,15,160,6,180,55
37,532,99,21,143934,205874,187056,18670,205726,4,8,71,83,65
37,533,99,21,112836,156787,138531,15737,154268,8,640,14,662,1857
37,534,99,21,145008,203103,183457,19098,202555,40,248,7,295,253
37,535,99,21,148880,207685,163056,32364,195420,374,6905,108,7386,4878
36,537,99,21,87956,123362,69302,47251,116553,962,3025,532,4518,2290
