size_class,social_group,district_name,district_code,state_name,state_code,holding_no,holding_ar,holding_whly-owned_self-operatd_no,holding_whly-owned_self-operatd_ar,holding_whly_leased-in_no,holding_whly_leased-in_ar,holding_whly-operatd_no,holding_whly-operatd_ar,holding_partly-ownd_leased-in_operatd_no,holding_partly-ownd_leased-in_operatd_ownd-ar,holding_partly-ownd_leased-in_operatd_leasdin-ar,holding_partly-ownd_leased-in_operatd_operatd-ar,holding_partly-ownd_leased-in_operatd_tot-ar
20.0 & ABOVE,SCHEDULED CASTE,VIZIANAGARAM,543,ANDHRA PRADESH,36,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,VISAKHAPATNAM,544,ANDHRA PRADESH,36,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,EAST GODAVARI,545,ANDHRA PRADESH,36,2,41,2,41,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,WEST GODAVARI,546,ANDHRA PRADESH,36,2,62,2,62,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,KRISHNA,547,ANDHRA PRADESH,36,10,298,10,298,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,GUNTUR,548,ANDHRA PRADESH,36,7,147,7,147,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,PRAKASAM,549,ANDHRA PRADESH,36,6,183,6,183,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,NELLORE,550,ANDHRA PRADESH,36,1,27,1,27,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,KADAPA,551,ANDHRA PRADESH,36,1,24,1,24,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,KURNOOL,552,ANDHRA PRADESH,36,9,351,9,351,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,ANANTHAPUR,553,ANDHRA PRADESH,36,11,286,11,286,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,CHITTOOR,554,ANDHRA PRADESH,36,9,314,9,314,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,OTHERS,ADILABAD,532,TELANGANA,37,234,8200,234,8200,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,OTHERS,NIZAMABAD,533,TELANGANA,37,35,999,35,999,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,OTHERS,KARIMNAGAR,534,TELANGANA,37,131,4390,131,4390,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,OTHERS,MEDAK,535,TELANGANA,37,215,6419,215,6419,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,OTHERS,RANGAREDDY,537,ANDHRA PRADESH,36,149,4313,149,4313,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,OTHERS,MAHABUBNAGAR,538,TELANGANA,37,341,10275,341,10275,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,OTHERS,NALGONDA,539,TELANGANA,37,159,5109,159,5109,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,OTHERS,WARANGAL,540,TELANGANA,37,287,9234,287,9234,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,OTHERS,KHAMMAM,541,TELANGANA,37,159,6578,157,6525,0,0,0,0,2,34,20,0,53
20.0 & ABOVE,OTHERS,SRIKAKULAM,542,ANDHRA PRADESH,36,57,2182,57,2182,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,OTHERS,VIZIANAGARAM,543,ANDHRA PRADESH,36,79,2539,79,2539,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,OTHERS,VISAKHAPATNAM,544,ANDHRA PRADESH,36,31,942,30,920,1,21,0,0,0,0,0,0,0
