size_class,social_group,district_name,district_code,state_name,state_code,holding_no,holding_ar,holding_canal_no,holding_canal_ar,holding_tank_no,holding_tank_ar,holding_well_no,holding_well_ar,holding_tubewell_no,holding_tubewell_ar,no_holdings_othersources,area_irrigated_othersources,no_holdings_receiving_irrigation,total_irrigated_area
20.0 & ABOVE,SCHEDULED CASTE,WARANGAL,540,TELANGANA,37,36,1502,0,0,3,6,3,25,0,0,13,302,16,334
20.0 & ABOVE,SCHEDULED CASTE,KHAMMAM,541,TELANGANA,37,4,173,0,0,0,0,0,0,0,0,3,62,3,62
20.0 & ABOVE,SCHEDULED CASTE,SRIKAKULAM,542,ANDHRA PRADESH,36,1,43,0,0,0,0,0,0,0,0,1,21,1,21
20.0 & ABOVE,SCHEDULED CASTE,VIZIANAGARAM,543,ANDHRA PRADESH,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,VISAKHAPATNAM,544,ANDHRA PRADESH,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,EAST GODAVARI,545,ANDHRA PRADESH,36,2,41,0,0,0,0,0,0,0,0,2,21,2,21
20.0 & ABOVE,SCHEDULED CASTE,WEST GODAVARI,546,ANDHRA PRADESH,36,2,62,0,0,0,0,0,0,0,0,1,14,1,14
20.0 & ABOVE,SCHEDULED CASTE,KRISHNA,547,ANDHRA PRADESH,36,10,298,0,0,0,0,0,0,0,0,6,86,6,86
20.0 & ABOVE,SCHEDULED CASTE,GUNTUR,548,ANDHRA PRADESH,36,7,147,0,0,0,0,0,0,0,0,7,74,7,74
20.0 & ABOVE,SCHEDULED CASTE,PRAKASAM,549,ANDHRA PRADESH,36,6,183,0,0,0,0,0,0,0,0,2,31,2,31
20.0 & ABOVE,SCHEDULED CASTE,NELLORE,550,ANDHRA PRADESH,36,1,27,0,0,0,0,0,0,0,0,1,14,1,14
20.0 & ABOVE,SCHEDULED CASTE,KADAPA,551,ANDHRA PRADESH,36,1,24,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,KURNOOL,552,ANDHRA PRADESH,36,9,351,0,0,0,0,0,0,0,0,2,23,2,23
20.0 & ABOVE,SCHEDULED CASTE,ANANTHAPUR,553,ANDHRA PRADESH,36,11,286,0,0,0,0,0,0,0,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,CHITTOOR,554,ANDHRA PRADESH,36,9,314,2,38,0,0,0,0,1,19,2,29,4,86
20.0 & ABOVE,OTHERS,ADILABAD,532,TELANGANA,37,234,8200,5,130,7,42,17,122,5,12,4,58,32,364
20.0 & ABOVE,OTHERS,NIZAMABAD,533,TELANGANA,37,35,999,1,32,2,57,0,0,8,57,7,90,18,236
20.0 & ABOVE,OTHERS,KARIMNAGAR,534,TELANGANA,37,131,4390,3,218,10,333,19,258,1,5,74,1025,105,1839
20.0 & ABOVE,OTHERS,MEDAK,535,TELANGANA,37,215,6419,0,0,6,61,0,0,53,730,22,285,81,1076
20.0 & ABOVE,OTHERS,RANGAREDDY,537,ANDHRA PRADESH,36,149,4313,0,0,13,279,15,19,53,111,21,262,94,672
20.0 & ABOVE,OTHERS,MAHABUBNAGAR,538,TELANGANA,37,341,10275,3,8,15,360,13,62,108,571,28,345,159,1347
20.0 & ABOVE,OTHERS,NALGONDA,539,TELANGANA,37,159,5109,3,9,2,150,42,132,67,501,36,448,120,1241
20.0 & ABOVE,OTHERS,WARANGAL,540,TELANGANA,37,287,9234,4,17,25,89,69,811,0,0,35,515,109,1433
20.0 & ABOVE,OTHERS,KHAMMAM,541,TELANGANA,37,159,6578,3,142,30,674,50,181,77,600,42,66,115,1663
20.0 & ABOVE,OTHERS,SRIKAKULAM,542,ANDHRA PRADESH,36,57,2182,15,313,8,356,0,0,0,0,23,337,46,1006
20.0 & ABOVE,OTHERS,VIZIANAGARAM,543,ANDHRA PRADESH,36,79,2539,0,0,16,208,5,15,5,32,38,499,59,755
20.0 & ABOVE,OTHERS,VISAKHAPATNAM,544,ANDHRA PRADESH,36,31,942,7,224,7,130,0,0,0,0,8,97,22,451
20.0 & ABOVE,OTHERS,EAST GODAVARI,545,ANDHRA PRADESH,36,64,1887,1,2,10,79,1,4,3,71,33,440,47,595
20.0 & ABOVE,OTHERS,WEST GODAVARI,546,ANDHRA PRADESH,36,48,1659,1,54,8,175,0,0,12,411,21,275,42,916
20.0 & ABOVE,OTHERS,KRISHNA,547,ANDHRA PRADESH,36,59,1884,6,139,1,22,1,4,13,264,21,259,42,688
20.0 & ABOVE,OTHERS,GUNTUR,548,ANDHRA PRADESH,36,38,1206,0,0,5,117,0,0,0,0,20,256,25,374
