size_class,social_group,district_name,district_code,state_name,state_code,total_holdings_no,total_holdings_area,gross_cropped_area_irrigated,gross_cropped_area_unirrigated,gross_cropped_area_total
20.0 & ABOVE,OTHERS,SRIKAKULAM,542,ANDHRA PRADESH,36,57,2182,1007,311,1318
20.0 & ABOVE,OTHERS,VIZIANAGARAM,543,ANDHRA PRADESH,36,79,2539,755,695,1450
20.0 & ABOVE,OTHERS,VISAKHAPATNAM,544,ANDHRA PRADESH,36,31,942,451,153,604
20.0 & ABOVE,OTHERS,EAST GODAVARI,545,ANDHRA PRADESH,36,64,1887,595,475,1070
20.0 & ABOVE,OTHERS,WEST GODAVARI,546,ANDHRA PRADESH,36,48,1659,970,272,1242
20.0 & ABOVE,OTHERS,KRISHNA,547,ANDHRA PRADESH,36,59,1884,804,481,1285
20.0 & ABOVE,OTHERS,GUNTUR,548,ANDHRA PRADESH,36,38,1206,374,229,603
20.0 & ABOVE,OTHERS,PRAKASAM,549,ANDHRA PRADESH,36,151,4347,450,1691,2141
20.0 & ABOVE,OTHERS,NELLORE,550,ANDHRA PRADESH,36,157,4883,1359,1138,2497
20.0 & ABOVE,OTHERS,KADAPA,551,ANDHRA PRADESH,36,43,1709,313,537,850
20.0 & ABOVE,OTHERS,KURNOOL,552,ANDHRA PRADESH,36,235,8707,885,5286,6171
20.0 & ABOVE,OTHERS,ANANTHAPUR,553,ANDHRA PRADESH,36,367,11401,1235,7573,8808
20.0 & ABOVE,OTHERS,CHITTOOR,554,ANDHRA PRADESH,36,123,3571,375,1397,1772
20.0 & ABOVE,SCHEDULED TRIBES,ADILABAD,532,TELANGANA,37,93,2715,16,602,618
20.0 & ABOVE,SCHEDULED TRIBES,NIZAMABAD,533,TELANGANA,37,2,67,33,0,33
20.0 & ABOVE,SCHEDULED TRIBES,KARIMNAGAR,534,TELANGANA,37,3,92,25,21,46
20.0 & ABOVE,SCHEDULED TRIBES,MEDAK,535,TELANGANA,37,3,113,0,57,57
20.0 & ABOVE,SCHEDULED TRIBES,RANGAREDDY,537,ANDHRA PRADESH,36,8,253,26,87,113
20.0 & ABOVE,SCHEDULED TRIBES,MAHABUBNAGAR,538,TELANGANA,37,16,622,137,146,283
20.0 & ABOVE,SCHEDULED TRIBES,NALGONDA,539,TELANGANA,37,3,89,1,38,40
20.0 & ABOVE,SCHEDULED TRIBES,WARANGAL,540,TELANGANA,37,23,627,130,294,424
20.0 & ABOVE,SCHEDULED TRIBES,KHAMMAM,541,TELANGANA,37,37,999,454,122,576
20.0 & ABOVE,SCHEDULED TRIBES,SRIKAKULAM,542,ANDHRA PRADESH,36,1,21,0,10,10
20.0 & ABOVE,SCHEDULED TRIBES,VIZIANAGARAM,543,ANDHRA PRADESH,36,3,67,6,38,44
20.0 & ABOVE,SCHEDULED TRIBES,VISAKHAPATNAM,544,ANDHRA PRADESH,36,42,1049,140,424,564
20.0 & ABOVE,SCHEDULED TRIBES,EAST GODAVARI,545,ANDHRA PRADESH,36,25,664,144,101,246
20.0 & ABOVE,SCHEDULED TRIBES,WEST GODAVARI,546,ANDHRA PRADESH,36,4,406,608,0,608
20.0 & ABOVE,SCHEDULED TRIBES,KRISHNA,547,ANDHRA PRADESH,36,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,GUNTUR,548,ANDHRA PRADESH,36,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,PRAKASAM,549,ANDHRA PRADESH,36,0,0,0,0,0
