size_class,social_group,district_name,district_code,state_name,state_code,holding_no,holding_ar,sown_ar,current_fallows_ar,cultivated_ar,uncultivated-land_excluding_fallow,fallow_excluding_current-fallow,culturable_waste_land,uncultivated_land,land_not_for_cultivation
20.0 & ABOVE,SCHEDULED CASTE,KADAPA,551,ANDHRA PRADESH,36,1,24,12,12,24,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,KURNOOL,552,ANDHRA PRADESH,36,9,351,215,136,351,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,ANANTHAPUR,553,ANDHRA PRADESH,36,11,286,143,143,286,0,0,0,0,0
20.0 & ABOVE,SCHEDULED CASTE,CHITTOOR,554,ANDHRA PRADESH,36,9,314,186,129,314,0,0,0,0,0
20.0 & ABOVE,OTHERS,ADILABAD,532,TELANGANA,37,234,8200,4760,3434,8194,0,0,4,4,2
20.0 & ABOVE,OTHERS,NIZAMABAD,533,TELANGANA,37,35,999,419,505,924,13,21,11,46,29
20.0 & ABOVE,OTHERS,KARIMNAGAR,534,TELANGANA,37,131,4390,2210,2120,4329,0,32,0,32,29
20.0 & ABOVE,OTHERS,MEDAK,535,TELANGANA,37,215,6419,3770,2340,6110,39,143,0,182,127
20.0 & ABOVE,OTHERS,RANGAREDDY,537,ANDHRA PRADESH,36,149,4313,1584,2406,3990,6,164,4,173,150
20.0 & ABOVE,OTHERS,MAHABUBNAGAR,538,TELANGANA,37,341,10275,4329,5174,9504,0,492,0,492,280
20.0 & ABOVE,OTHERS,NALGONDA,539,TELANGANA,37,159,5109,2483,2172,4655,102,205,12,319,134
20.0 & ABOVE,OTHERS,WARANGAL,540,TELANGANA,37,287,9234,6286,2461,8748,87,224,14,325,161
20.0 & ABOVE,OTHERS,KHAMMAM,541,TELANGANA,37,159,6578,4915,1663,6578,0,0,0,0,0
20.0 & ABOVE,OTHERS,SRIKAKULAM,542,ANDHRA PRADESH,36,57,2182,1210,972,2182,0,0,0,0,0
20.0 & ABOVE,OTHERS,VIZIANAGARAM,543,ANDHRA PRADESH,36,79,2539,1369,1169,2539,0,0,0,0,0
20.0 & ABOVE,OTHERS,VISAKHAPATNAM,544,ANDHRA PRADESH,36,31,942,604,338,942,0,0,0,0,0
20.0 & ABOVE,OTHERS,EAST GODAVARI,545,ANDHRA PRADESH,36,64,1887,1070,570,1640,0,151,0,151,97
20.0 & ABOVE,OTHERS,WEST GODAVARI,546,ANDHRA PRADESH,36,48,1659,1188,471,1659,0,0,0,0,0
20.0 & ABOVE,OTHERS,KRISHNA,547,ANDHRA PRADESH,36,59,1884,1148,736,1884,0,0,0,0,0
20.0 & ABOVE,OTHERS,GUNTUR,548,ANDHRA PRADESH,36,38,1206,603,603,1206,0,0,0,0,0
20.0 & ABOVE,OTHERS,PRAKASAM,549,ANDHRA PRADESH,36,151,4347,2141,1084,3225,0,633,78,710,413
20.0 & ABOVE,OTHERS,NELLORE,550,ANDHRA PRADESH,36,157,4883,2434,2108,4542,106,5,56,167,175
20.0 & ABOVE,OTHERS,KADAPA,551,ANDHRA PRADESH,36,43,1709,792,615,1407,0,192,0,192,110
20.0 & ABOVE,OTHERS,KURNOOL,552,ANDHRA PRADESH,36,235,8707,6158,2441,8599,20,47,12,79,28
20.0 & ABOVE,OTHERS,ANANTHAPUR,553,ANDHRA PRADESH,36,367,11401,8670,2324,10993,0,196,2,198,209
20.0 & ABOVE,OTHERS,CHITTOOR,554,ANDHRA PRADESH,36,123,3571,1723,1688,3411,43,46,15,104,56
20.0 & ABOVE,SCHEDULED TRIBES,ADILABAD,532,TELANGANA,37,93,2715,618,2097,2715,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,NIZAMABAD,533,TELANGANA,37,2,67,33,33,67,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,KARIMNAGAR,534,TELANGANA,37,3,92,46,46,92,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,MEDAK,535,TELANGANA,37,3,113,57,57,113,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,RANGAREDDY,537,ANDHRA PRADESH,36,8,253,113,120,234,0,16,0,16,4
20.0 & ABOVE,SCHEDULED TRIBES,MAHABUBNAGAR,538,TELANGANA,37,16,622,283,339,622,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,NALGONDA,539,TELANGANA,37,3,89,40,49,89,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,WARANGAL,540,TELANGANA,37,23,627,424,203,627,0,0,0,0,0
20.0 & ABOVE,SCHEDULED TRIBES,KHAMMAM,541,TELANGANA,37,37,999,519,450,969,0,24,0,24,6
